Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Total_Goals,Note
01/05/11,AZ Alkmaar,Graafschap,5,1,1,6,0.3416625138136426
01/05/11,Den Haag,Groningen,2,4,1,6,0.3872256288026592
01/05/11,Excelsior,Utrecht,3,1,1,4,0.30705202716104685
01/05/11,Heerenveen,Ajax,1,2,1,3,0.28561464925339164
01/05/11,NAC Breda,Heracles,1,2,1,3,0.4084452339936864
01/05/11,Nijmegen,Roda,5,0,0,5,0.6326038408113409
01/05/11,PSV Eindhoven,Vitesse,2,1,1,3,0.37211092145164426
01/05/11,Twente,Willem II,4,0,0,4,0.4156073592444933
01/05/11,VVV Venlo,Feyenoord,3,2,1,5,0.27494433517785866
15/05/11,Ajax,Twente,3,1,1,4,0.34331109408378996
15/05/11,Feyenoord,Nijmegen,1,1,1,2,0.5586726292544559
15/05/11,Graafschap,VVV Venlo,1,0,0,1,0.43667659181611634
15/05/11,Groningen,PSV Eindhoven,0,0,0,0,0.44474172763485126
15/05/11,Heracles,Den Haag,3,0,0,3,0.4111536277211031
15/05/11,Roda,Heerenveen,0,0,0,0,0.5744545567946858
15/05/11,Utrecht,AZ Alkmaar,5,1,1,6,0.36993828910477583
15/05/11,Vitesse,Excelsior,1,4,1,5,0.5039891384094896
15/05/11,Willem II,NAC Breda,0,1,0,1,0.638903566025026
06/08/10,Roda,Twente,0,0,0,0,0.43413710619439605
07/08/10,Graafschap,Excelsior,3,0,0,3,0.43905251434451836
07/08/10,Heerenveen,PSV Eindhoven,1,3,1,4,0.2122297868111909
07/08/10,Heracles,Willem II,3,0,0,3,0.24722230303077616
07/08/10,Nijmegen,VVV Venlo,1,0,0,1,0.37744416862010133
08/08/10,Feyenoord,Utrecht,3,1,1,4,0.47026308680041934
08/08/10,Groningen,Ajax,2,2,1,4,0.5385545629842023
08/08/10,NAC Breda,AZ Alkmaar,1,1,1,2,0.46033162624140445
08/08/10,Vitesse,Den Haag,3,1,1,4,0.5010329128627616
14/08/10,Ajax,Vitesse,4,2,1,6,0.41025429424659504
14/08/10,AZ Alkmaar,Groningen,1,1,1,2,0.5296681006192215
