Date,HomeTeam,AwayTeam,FTHG,FTAG,A&H Scored?,Note Match Beta
15/05/11,Ajax,Twente,3.0,1.0,1,0.551618441650255
15/05/11,Feyenoord,Nijmegen,1.0,1.0,1,0.655018936524769
15/05/11,Graafschap,VVV Venlo,1.0,0.0,,0.475427460485785
15/05/11,Groningen,PSV Eindhoven,0.0,0.0,,0.5425132555673382
15/05/11,Heracles,Den Haag,3.0,0.0,,0.6024476089481392
15/05/11,Roda,Heerenveen,0.0,0.0,,0.6329899510175225
15/05/11,Utrecht,AZ Alkmaar,5.0,1.0,1,0.644836640912993
15/05/11,Vitesse,Excelsior,1.0,4.0,1,0.6598964803312629
15/05/11,Willem II,NAC Breda,0.0,1.0,,0.6300207039337473
06/08/10,Roda,Twente,0.0,0.0,,0.5862652123415644
07/08/10,Graafschap,Excelsior,3.0,0.0,,0.5120905923344947
07/08/10,Heerenveen,PSV Eindhoven,1.0,3.0,1,0.5936438923395445
07/08/10,Heracles,Willem II,3.0,0.0,,0.544120082815735
07/08/10,Nijmegen,VVV Venlo,1.0,0.0,,0.603051557844771
08/08/10,Feyenoord,Utrecht,3.0,1.0,1,0.6425178003332828
08/08/10,Groningen,Ajax,2.0,2.0,1,0.5965545624400344
08/08/10,NAC Breda,AZ Alkmaar,1.0,1.0,1,0.6993006110185326
08/08/10,Vitesse,Den Haag,3.0,1.0,1,0.6941205877897287
14/08/10,Ajax,Vitesse,4.0,2.0,1,0.6829273342422866
14/08/10,AZ Alkmaar,Groningen,1.0,1.0,1,0.7131641670453972
14/08/10,PSV Eindhoven,Graafschap,6.0,0.0,,0.4222643033883755
14/08/10,Twente,Heerenveen,0.0,0.0,,0.5651305357774075
14/08/10,VVV Venlo,Heracles,1.0,0.0,,0.46250467100944304
15/08/10,Den Haag,Roda,1.0,3.0,1,0.6486385901126093
15/08/10,Excelsior,Feyenoord,3.0,2.0,1,0.6638802201686613
15/08/10,Utrecht,NAC Breda,3.0,1.0,1,0.6884684138766853
15/08/10,Willem II,Nijmegen,3.0,5.0,1,0.6432303186385901
20/08/10,Excelsior,Nijmegen,4.0,2.0,1,0.6847709942937938
21/08/10,Ajax,Roda,3.0,0.0,,0.5795859213250518
21/08/10,Groningen,Graafschap,2.0,1.0,1,0.5604802302681412
21/08/10,Heerenveen,NAC Breda,3.0,1.0,1,0.6712594051406353
21/08/10,Vitesse,Twente,0.0,3.0,,0.5860829167297884
22/08/10,Heracles,Feyenoord,1.0,1.0,1,0.6033999899005201
