Date,HomeTeam,AwayTeam,FTHG,FTAG,HA_Scored,Note
14/05/11,Dortmund,Ein Frankfurt,3,1,1,0.3073680576133708
14/05/11,FC Koln,Schalke 04,2,1,1,0.349401139779946
14/05/11,Freiburg,Leverkusen,0,1,0,0.3653278979958081
14/05/11,Hamburg,M'gladbach,1,1,1,0.3175490967439536
14/05/11,Hannover,Nurnberg,3,1,1,0.33434516712951323
14/05/11,Hoffenheim,Wolfsburg,1,3,1,0.4515648690887291
14/05/11,Kaiserslautern,Werder Bremen,3,2,1,0.4531300629654478
14/05/11,Mainz,St Pauli,2,1,1,0.38636818897828595
20/08/10,Bayern Munich,Wolfsburg,2,1,1,0.5793264296405676
21/08/10,FC Koln,Kaiserslautern,1,3,1,0.42419509136144873
21/08/10,Freiburg,St Pauli,1,3,1,0.4775607233886566
21/08/10,Hamburg,Schalke 04,2,1,1,0.40481403550591455
21/08/10,Hannover,Ein Frankfurt,2,1,1,0.3549421447376161
21/08/10,Hoffenheim,Werder Bremen,4,1,1,0.5711354894127485
21/08/10,M'gladbach,Nurnberg,1,1,1,0.40041651392590644
22/08/10,Dortmund,Leverkusen,0,2,0,0.28645860361233977
22/08/10,Mainz,Stuttgart,2,0,0,0.460283891778154
27/08/10,Kaiserslautern,Bayern Munich,2,0,0,0.48303817655416836
28/08/10,Ein Frankfurt,Hamburg,1,3,1,0.3860914116571119
28/08/10,Nurnberg,Freiburg,1,2,1,0.4100107389864339
28/08/10,Schalke 04,Hannover,1,2,1,0.42450395285503606
28/08/10,St Pauli,Hoffenheim,0,1,0,0.45689038189166953
28/08/10,Werder Bremen,FC Koln,4,2,1,0.5530512882767513
28/08/10,Wolfsburg,Mainz,3,4,1,0.5277576381016011
29/08/10,Leverkusen,M'gladbach,3,6,1,0.40491603936249154
29/08/10,Stuttgart,Dortmund,1,3,1,0.43913151732060796
10/09/10,Hoffenheim,Schalke 04,2,0,0,0.4478809815140674
11/09/10,Bayern Munich,Werder Bremen,0,0,0,0.5456079066129673
11/09/10,Dortmund,Wolfsburg,2,0,0,0.3650684475023117
11/09/10,Freiburg,Stuttgart,2,1,1,0.5802932877742282
11/09/10,Hamburg,Nurnberg,1,1,1,0.4847706543727696
11/09/10,Hannover,Leverkusen,2,2,1,0.42902569404328605
11/09/10,M'gladbach,Ein Frankfurt,0,4,0,0.354354116180828
12/09/10,FC Koln,St Pauli,1,0,0,0.4064275838853365
12/09/10,Mainz,Kaiserslautern,2,1,1,0.3959894355463587
17/09/10,Ein Frankfurt,Freiburg,0,1,0,0.33879633719633817
18/09/10,Bayern Munich,FC Koln,0,0,0,0.43953565078245993
18/09/10,Kaiserslautern,Hoffenheim,2,2,1,0.4616849257540251
18/09/10,Stuttgart,M'gladbach,7,0,0,0.42649183588960227
18/09/10,Werder Bremen,Mainz,0,2,0,0.4309877169584695
18/09/10,Wolfsburg,Hannover,2,0,0,0.4690384158503383
19/09/10,Leverkusen,Nurnberg,0,0,0,0.4539578326021384
19/09/10,Schalke 04,Dortmund,1,3,1,0.3973183478890237
19/09/10,St Pauli,Hamburg,1,1,1,0.4839366212146141
21/09/10,Hannover,Werder Bremen,4,1,1,0.5273803973430877
21/09/10,Hoffenheim,Bayern Munich,1,2,1,0.5547867660200687
21/09/10,Mainz,FC Koln,2,0,0,0.34251203700543764
22/09/10,Dortmund,Kaiserslautern,5,0,0,0.3435442594387593
22/09/10,Freiburg,Schalke 04,1,2,1,0.5139694502005467
22/09/10,Hamburg,Wolfsburg,1,3,1,0.5496015352758554
22/09/10,Leverkusen,Ein Frankfurt,2,1,1,0.4215655854107556
22/09/10,M'gladbach,St Pauli,1,2,1,0.438637758223446
22/09/10,Nurnberg,Stuttgart,2,1,1,0.5755203166771916
24/09/10,FC Koln,Hoffenheim,1,1,1,0.4820296492335956
25/09/10,Bayern Munich,Mainz,1,2,1,0.46055933245582537
25/09/10,Ein Frankfurt,Nurnberg,2,0,0,0.40430499350608995
25/09/10,Schalke 04,M'gladbach,2,2,1,0.4807428600515443
25/09/10,St Pauli,Dortmund,1,3,1,0.46062401828916844
25/09/10,Stuttgart,Leverkusen,1,4,1,0.4846737209441109
25/09/10,Werder Bremen,Hamburg,3,2,1,0.5645940863660907
26/09/10,Kaiserslautern,Hannover,0,1,0,0.3919948669358844
26/09/10,Wolfsburg,Freiburg,2,1,1,0.5348309350247835
01/10/10,Hannover,St Pauli,0,1,0,0.4320556167582186
02/10/10,Freiburg,FC Koln,3,2,1,0.5144614210562409
02/10/10,Hamburg,Kaiserslautern,2,1,1,0.5652407142242111
02/10/10,Mainz,Hoffenheim,4,2,1,0.49932851679704426
02/10/10,M'gladbach,Wolfsburg,1,1,1,0.5152654731234065
02/10/10,Nurnberg,Schalke 04,2,1,1,0.5567876808634649
03/10/10,Dortmund,Bayern Munich,2,0,0,0.3941534220820503
03/10/10,Leverkusen,Werder Bremen,2,2,1,0.5657281529961142
03/10/10,Stuttgart,Ein Frankfurt,1,2,1,0.518586129470754
15/10/10,FC Koln,Dortmund,1,2,1,0.4394995404540123
16/10/10,Bayern Munich,Hannover,3,0,0,0.37054039576342546
16/10/10,Mainz,Hamburg,0,1,0,0.4717116439072298
